word,"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
punk,69,63,52,50,45,38,36,35,30,50,38,24,23
hipster,1,1,1,1,2,3,5,10,14,15,14,15,11
emo,13,23,36,55,79,65,55,39,28,22,18,16,13
