word,"2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
omg,,,,,,
cool,1790.98,1836.84,1909.94,1951.32,1864.5,1945.3,2024.99,2006.91,2060.81,2086.13,2123.57,2105.21,2110.4
swell,3820.07,3904.11,4029.56,3977.43,3993.51,3932.88,3979.74,4044.85,4022.08,4129.12,4144.9,4137.59,4135.25
poo,657.94,690.95,701.85,716.15,723.55,754.79,759.37,767.48,776.56,840.02,895.74,919.17,933.8
slang,786.11,811.77,841.04,842.14,908.58,934.56,982,1018.6,1077.27,1110.7,1174.4,1235.13,1286.78
