word,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,description
twerk,0,0,0,0,0,0.833333333,1,1.916666667,5.75,30.33333333,24.08333333,28.75,23.16666667,A dance style involving rhythmic gyrating of the posterior with references dating back to 1993 almost exclusively within the black community
dab,20.08333333,21.41666667,18.91666667,17,14.33333333,12.33333333,10.91666667,10.75,10.5,11.25,13.58333333,17.91666667,42.58333333,A dance step/movement used to show enthusiasm popularized by the Atlanta hip-hop scene
dougie,2.25,3.416666667,3.083333333,3.5,4.416666667,2.75,12.25,17,8.833333333,5.416666667,4.166666667,3.583333333,2.5,a dance step popularized by the song “Teach Me How to Dougie” by hip-hop group Cali Swag District (released in April 2010)
running man,2,2,2,2,2.25,2.75,4,10.08333333,24.66666667,42.16666667,48.91666667,46.58333333,51.33333333,A fad dance that originated first in 1986 by Janet Jackson, which saw a resurgence in popularity as a result of the viral “Running Man Challenge” video created in 2016
soulja boy,0,0,0.416666667,32.5,28.66666667,21.91666667,17.08333333,13.58333333,8,6.25,6.166666667,4.916666667,4.25,A widely known fad dance performed to the song “Crank That” by rapper Soulja Boy (released in May 2007)
