word,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,description
punk,69.33333333,63.16666667,52.16666667,50.08333333,44.83333333,37.91666667,35.83333333,34.5,29.83333333,49.75,38.16666667,24.41666667,22.81818182,A subculture characterized by anti-establishment views and the promotion of individual freedom 
hipster,1,1.083333333,1.083333333,1.333333333,1.916666667,2.833333333,5.25,9.75,13.83333333,14.58333333,14.41666667,14.5,11.18181818,A subculture of 20-30 year olds that value independent thinking and counter-culture
emo,13.16666667,23,36.41666667,54.5,79.25,64.91666667,54.83333333,39.16666667,28.16666667,21.66666667,18.33333333,15.83333333,13.45454545,Genre of emotional softcore punk music and a subculture of teenagers characterized by sensitivity/melancholy temperaments/horn-rimmed glasses/tight pants
