word,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,description
pot,50.58333333,52.08333333,52.33333333,53.25,57.08333333,61.25,61.91666667,66.5,67.66666667,71.91666667,75.08333333,77.08333333,80.33333333,Comes from the Spanish word potiguaya - a wine made from marijuana buds
weed,35.25,32.25,30.58333333,28.41666667,32.66666667,39.25,44.41666667,49.5,55.25,58,61.33333333,62.58333333,67.83333333,Fun Fact: Weed and Viagra don't mix.
marijuana,45,39.5,33.75,29.58333333,29,30,29,26.5,25.83333333,23.91666667,28.91666667,27.33333333,29.16666667, It is rumored that marijuana was first discovered by the Ancient Chinese in 2727 BC
420,13.5,12.25,11.08333333,11.08333333,11.5,11.16666667,11.66666667,12.08333333,11.75,13,14.75,17.16666667,15.66666667,Sometimes refers to 4:20 pm as a time one commonly ingests marijuana or the date April 20th - an unofficial “holiday” that celebrates marijuana
